Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.150594316389524,0.0678493446135312,0.347863951717185,0,0,0,0.0101653880980363,1.0048246878099E-05,-7.3468396926393E-37,-1.53688779177998E-21,1.5157875001342E-07,3.82929478237882E-22,1.0048246878099E-05,0,0,0,0,0,0,package://leg_assembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0614185793985458,0.127225993323511,-0.103015532344665,0,0,0,14.3172515097003,1.47051720779902,-0.0975033756736119,0.162957766718895,1.06376569521041,0.590486867173748,0.673327903454145,0,0,0,0,0,0,package://leg_assembly/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/link_1.STL,,link_1_corrected-1,Origin_base_joint,Axis_base_joint,base_joint,continuous,0.150594316389524,-0.347863951717185,0.102099344613531,1.5707963267949,0,1.92899218657778,base_link,0,1,0,,,,,,,,,,,,
link_2,-0.0614185793985462,0.0860431898520337,-0.0252770894795993,0,0,0,14.3172515097003,1.47051720779902,-0.183407254561084,0.049233331962452,0.28463001287987,0.21407088571695,1.45246358578468,0,0,0,0,0,0,package://leg_assembly/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/link_2.STL,,link_2_v2-1,Origin_shoulder_joint,Axis_shoulder_joint,shoulder_joint,continuous,0,0.0829999999999999,-0.0249999999999991,-0.769347148250491,0,0,link_1,1,0,0,,,,,,,,,,,,
link_3,0.0349999999999945,-0.200848271626628,-0.50117220412209,0,0,0,0.003071007349849,3.31492210861076E-07,1.85702047518155E-22,4.6983858793012E-22,2.91588594850019E-07,-9.95706013636013E-08,8.3035914239687E-08,0,0,0,0,0,0,package://leg_assembly/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/link_3.STL,,link_3_corrected-1,Origin_elbow_joint,Axis_elbow_joint,elbow_joint,continuous,0,0.433165678176262,0.292848996327625,1.03040234769901,0,0,link_2,1,0,0,,,,,,,,,,,,
link_4,0.320431980343591,-0.376269057917054,0.473731650433522,0,0,0,14.3172515097003,1.22299869199904,0.315862841528246,-0.397130167812801,1.12261703452718,0.501432352642655,0.861995079937343,0,0,0,0,0,0,package://leg_assembly/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/link_4.STL,,link_4-1,Origin_wrist_roll,Axis_wrist_roll,wrist_roll,continuous,0.0349999999999992,-0.198274893934871,-0.494750912271433,-0.276225881664695,-0.304270113720173,-0.900391226843565,link_3,0,0.0429812476264269,-0.99907587917659,,,,,,,,,,,,
end_effector,2.22044604925031E-16,0.0152130621288969,-0.0798538250989508,0,0,0,0.00512941577019471,1.25499198245662E-06,-3.4146015686189E-21,1.42275065359121E-21,1.90379021308943E-07,4.26651102034632E-07,1.08400856452872E-06,0,0,0,0,0,0,package://leg_assembly/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/end_effector.STL,,link_5-1,Origin_wrist_pitch,Axis_wrist_pitch,wrist_pitch,continuous,0,0.0021491,-0.049954,0.29533,0,0,link_4,1,0,0,,,,,,,,,,,,
finger_link_left,0,0.0265129074172366,0.0295580095320563,0,0,0,0.00369323716533971,1.64319292473695E-06,5.29395592033938E-23,9.27269466671944E-22,1.65626520145604E-06,4.57265442619314E-21,3.9078821758365E-08,0,0,0,0,0,0,package://leg_assembly/meshes/finger_link_left.STL,1,1,1,1,0,0,0,0,0,0,package://leg_assembly/meshes/finger_link_left.STL,,AP_Arm_GripperLink-1,Origin_finger_joint_left,Axis_finger_joint_left,finger_joint_left,continuous,-0.0350000000000005,-0.0252122416049434,-0.0725251018483113,-2.72838699915497,-0.386039781368848,2.97798281371752,end_effector,0,1,0,,,,,,,,,,,,
finger_tip_left,-0.116970106234662,-0.175351334282535,0.816276217430182,0,0,0,14.3172515097003,1.47116642312389,-0.0431428215248987,0.0989108612375278,1.37410627950981,0.393564230132815,0.362338103829861,0,0,0,0,0,0,package://leg_assembly/meshes/finger_tip_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leg_assembly/meshes/finger_tip_left.STL,,finger_grip_left-1,Origin_finger_j1,Axis_finger_j1,finger_j1,continuous,0,0,0.0599999999999998,-2.81843607467865,-0.292711741710647,-3.14159265358978,finger_link_left,0,0.948237736477631,-0.317561324974845,,,,,,,,,,,,
finger_link_right,1.11022302462516E-16,0.019589295354482,0.0295580095320566,0,0,0,0.00369323716533973,1.64319292473697E-06,-5.29395592033938E-23,9.40504356472792E-22,1.65626520145607E-06,6.24025054110004E-21,3.90788217583653E-08,0,0,0,0,0,0,package://leg_assembly/meshes/finger_link_right.STL,1,1,1,1,0,0,0,0,0,0,package://leg_assembly/meshes/finger_link_right.STL,,AP_Arm_GripperLink-4,Origin_finger_joint_right,Axis_finger_joint_right,finger_joint_right,continuous,0.035,-0.018786,-0.075101,-2.7586,0.095478,-3.1032,end_effector,0,1,0,,,,,,,,,,,,
finger_tip_right,-0.21008,-0.20292,0.75576,0,0,0,14.317,1.4675,-0.050352,0.11832,1.3735,0.39336,0.36667,0,0,0,0,0,0,package://leg_assembly/meshes/finger_tip_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_assembly/meshes/finger_tip_right.STL,,finger_grip_right-1,Origin_finger_j2,Axis_finger_j2,finger_j2,continuous,0,0,0.06,-2.8184,-0.8343,-3.1416,finger_link_right,0,0.94824,-0.31756,,,,,,,,,,,,
